text,score
haa jaise tum bhi abhi p xe x xa,0
banti hai empowered woman feminism pe gyan pelti hai aur din bhar roti rehti hai pahle rona band kar madarchod,2
rt jong korea ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai madarchod t xe x xa,2
punjab in madarchodon ko khila raha hai nokrian day raha hai aur yeh imran ma xe x xa,2
rt agar koi bole ki ja ke chill maar to madarchod ki gand maar lene ka,2
main jutt punjabi hoon aur paka n league madarchod imran ki punjab say nafrat clear hai,1
merry to bhosdike tere baap ka kya ja raha hai tu apna ghar dekh na madarchod,2
sunny leone bana ke chodege nteri maa ko nsamjh me aaya nmadarchod neem ka patta kadva hai xe x xa,2
india pata nahi aise sanghi kutte ko bha xe x xa,2
rt screw the law of the land if i find this chutiya madarchod mulla i will lynch him murder him cut into millions of pieces and ha xe x xa,1
a boy donated blood to his gf n ntwo months later they broke up n nboy mujhe mera khoon lauta de n ngirl throw xe x xa,0
bc madarchod south africa england main man of the match award le chuke xe x xa,2
madarchod congresi or bjp dono ki sarkar bani baad me wade bhul gye rajasthan me hamri city tak singal xe x xa,2
madarchod socialify wale log xf x f x xa,2
lagh madarchod kya hai yeh,2
sunny leone bana ke chodege nteri maa ko nsamjh me aaya nmadarchod n xe x xa,2
rt kis madarchod ki he giri hui harkt,2
sukhwal teri maa behan ko har rooj chood rahe hai tum khayal rakho warnna aise hi chudawati rahati hai madarchod,2
adarsh deewar superhit nai aaj ke time ke hisaab se atbb hai chutye dont compa xe x xa,2
virat and anushka s future kid n nanushka mamma bolo beta mammaaaa n nkid mm ma maa madarchod,1
madarchod brahmno se mafi mango,1
suwar ke bache madar chod teri maa ki chut me ghungru bajaunga madarchod bhar xe x xa,2
fuck off chal bhag yahan se madarchod,2
teri maa ko our ben ko chudva sale benchod madarchod gabbar,2
i have to say this madarchod i created multiple accounts and you locked all accounts amp,2
daredevil ya bakrichod jyada ni uchal rhe h bhosdi vale madarchod nbawasir c shakal ki h ye nand bhokti xe x xa,2
kidhar chupe hai re madarchod peta wale gandu log,2
tu waha kya kar raha ha madarchod bahan k lode kaha comarision kar raha ha tu kaha no ka madarchod xe x xa,2
madarchod maar dalo,2
isme embarassing kya hai bey madarchod ahmedabad commissioner has not given permission to hold a rall xe x xa,2
pooja madarchod musalman aaiysha aur wo hai,1
madarchod randi ke bache gali kisko de rha hai gand phar dunga bharve bhosrike aukat me reh,2
bollywoodians are madarchod ye to kai saalon se bata raha hoon main tum logon ko,2
cranko madarchod you unfollowed me tu dekh ab kya karta hun main,2
walim teri ammi ko chodne wala insaan hai ye icc kya pure world isko badhai dekha bc hat mulle madarchod,1
rafel deal rafel deal rafel deal tum madarchod congressio ke raj mai fighter deal kyu nahi hue chu xe x xa,2
saniya must say you are most madarchod randi on twitter cum ki pyassi abtak na jane loundo ne xe x xa,2
i never donate to any madarchod hindu priests they are chors,1
you madarchod in screwed air india and still have audacity to question government kya khate ho aur kya sochte ho xe x xa,2
is madarchod sajid khan ko jayvijay se kya problem h khud ko to kuch aata ni uski performance ko bekar bolta h xe x xa,2
teri maaa ko kuttey se chudwaya tera suwar baaap tab jakar tu madarchod paida huwa randi ka aulaaad madarchod,2
ambani supporter madarchod mar ja,2
